Name,Email Address,Mobile / WhatsApp,Role,City,Language,Region,Country,Facilitator(s),Group Name,Registered Through,WhatsApp Group Status,Initiation Status,Culmination Status,Notes,Registered By
Ojas Roy,ojas.roy131@yahoo.com,6375781138,Facliators,Bhopal,Tamil,India,India,Lakshmi Krishnan,Nagpur Group,Referral,No,Pending,Yes,Regular attendee,RasPay
Karthik Subramaniam,karthik.subramaniam924@yahoo.com,8885252017,Sadhak,Meerut,Punjabi,India,India,Naveen Rao,Ahmedabad Group,Facebook,No,No,Pending,Active,Admin2
Vijay Singh,vijay.singh188@outlook.com,7573384277,Facliators,Dubai,Gujarati,Non India,Germany,Ganesh Shetty,USA Group,Referral,Yes,Pending,Yes,Needs reminder,Facilitator
Parth Hegde,parth.hegde432@rediffmail.com,6716732296,Sadhak,Visakhapatnam,Assamese,India,India,Karthik Menon,Nagpur Group,Twitter,Yes,Yes,Pending,Follow up,Coordinator
Gopal Rajan,gopal.rajan889@rediffmail.com,8953937081,Sadhak,Chicago,Gujarati,Non India,Qatar,Deepa Nair,Hyderabad Group,Referral,Yes,No,Pending,Active,Self
Bharat Menon,bharat.menon715@outlook.com,8599144042,Sadhak,Paris,Tamil,Non India,Bahrain,Naveen Rao,Ahmedabad Group,Telegram,Yes,Yes,Pending,,Admin2
Umesh Patel,umesh.patel178@rediffmail.com,6882832506,Facliators,London,Telugu,Non India,Bahrain,Priya Sharma,Bangalore Group,Telegram,No,Yes,No,,System
Usha Dubey,usha.dubey711@gmail.com,7392438225,Facliators,Muscat,Malayalam,Non India,Sri Lanka,Deepa Nair,Jaipur Group,Instagram,Pending,Yes,No,Needs reminder,Coordinator
Leela Shetty,leela.shetty177@rediffmail.com,6598024291,Sadhak,Dhanbad,English,India,India,Meena Joshi,Kolkata Group,Word of Mouth,Pending,Yes,Pending,,Admin2
Vijay Mukherjee,vijay.mukherjee476@outlook.com,9024819424,Facliators,Sharjah,English,Non India,Sri Lanka,Ashwin Verma,Hyderabad Group,Word of Mouth,No,No,No,Regular attendee,Volunteer
Sachin Banerjee,sachin.banerjee586@rediffmail.com,7977632878,Facliators,Guwahati,English,India,India,Suresh Pillai,Jaipur Group,Website,Pending,No,Yes,Regular attendee,Facilitator
Meena Tiwari,meena.tiwari270@rediffmail.com,7756796489,Facliators,Visakhapatnam,Assamese,India,India,Ganesh Shetty,Jaipur Group,Telegram,No,Yes,No,,System
Shruti Reddy,shruti.reddy936@gmail.com,7410341492,Sadhak,Varanasi,English,India,India,Sunita Patel,Toronto Group,Instagram,No,Yes,No,,Admin2
Dhara Reddy,dhara.reddy776@rediffmail.com,7500312647,Sadhak,Jabalpur,Telugu,India,India,Swati Shah,Coimbatore Group,Word of Mouth,Yes,Yes,Pending,Needs reminder,Admin1
Aryan Verma,aryan.verma746@outlook.com,7797910489,Facliators,Doha,Tamil,Non India,Qatar,Arjun Singh,Bangalore Group,Email,Pending,Yes,No,Confirmed,Volunteer
Mohan Shastri,mohan.shastri169@rediffmail.com,8987348458,Facliators,Abu Dhabi,Malayalam,Non India,UK,Deepa Nair,Kolkata Group,Word of Mouth,No,No,No,,Volunteer
Hema Gupta,hema.gupta183@hotmail.com,8605878242,Sadhak,Allahabad,Malayalam,India,India,Mohan Gupta,Toronto Group,Referral,No,Pending,Yes,,Facilitator
Manoj Pandey,manoj.pandey539@yahoo.com,6316919773,Sadhak,San Jose,Tamil,Non India,Kuwait,Lakshmi Krishnan,Toronto Group,Word of Mouth,Pending,Yes,No,Follow up,System
Ganesh Jain,ganesh.jain220@outlook.com,6746122895,Sadhak,Sharjah,Gujarati,Non India,UK,Karthik Menon,Pune Group,YouTube,Pending,No,Pending,Awaiting response,Admin1
Lakshmi Shetty,lakshmi.shetty798@gmail.com,9188083153,Sadhak,Vasai,English,India,India,Ravi Kumar,Ahmedabad Group,Instagram,Yes,Pending,No,Inactive,Admin2
Lalit Kamath,lalit.kamath56@outlook.com,8386681124,Sadhak,Riyadh,English,Non India,Malaysia,Rajesh Kumar,Mumbai Group,Word of Mouth,Pending,Yes,Yes,Needs reminder,Volunteer
Jayesh Sinha,jayesh.sinha80@hotmail.com,8034582992,Sadhak,Melbourne,English,Non India,Australia,Pooja Mehta,Toronto Group,Facebook,Yes,Pending,Yes,,RasPay
Karthik Jain,karthik.jain726@yahoo.com,8422651467,Facliators,Varanasi,Telugu,India,India,Deepa Nair,London Group,Word of Mouth,Pending,No,No,Interested,Admin2
Savita Pandey,savita.pandey159@yahoo.com,8747526060,Facliators,Kalyan,Kannada,India,India,Naveen Rao,Pune Group,Instagram,Pending,Pending,Yes,Regular attendee,Self
Dhara Shetty,dhara.shetty261@outlook.com,8205133535,Facliators,San Jose,Tamil,Non India,USA,Priya Sharma,Hyderabad Group,Instagram,No,Pending,No,Needs reminder,Facilitator
Kamla Desai,kamla.desai230@yahoo.com,6309758089,Sadhak,Toronto,Gujarati,Non India,New Zealand,Naveen Rao,Nagpur Group,YouTube,No,No,Yes,Inactive,Self
Ketan Dubey,ketan.dubey401@gmail.com,6106295685,Sadhak,Coimbatore,Tamil,India,India,Lakshmi Krishnan,Singapore Group,WhatsApp,Pending,Yes,Yes,,Facilitator
Shruti Sharma,shruti.sharma8@outlook.com,8086343865,Facliators,Houston,Gujarati,Non India,Bahrain,Suresh Pillai,Singapore Group,Referral,Pending,No,Yes,,Self
Wasim Chakraborty,wasim.chakraborty234@rediffmail.com,7336985727,Sadhak,Paris,Telugu,Non India,Malaysia,Ganesh Shetty,Delhi Group,YouTube,Yes,Pending,Pending,,Self
Bharat Roy,bharat.roy809@outlook.com,6201479324,Sadhak,Ranchi,Malayalam,India,India,Lakshmi Krishnan,Dubai Group,Facebook,Yes,Pending,Yes,,Self
Rajesh Gupta,rajesh.gupta822@hotmail.com,7202311627,Sadhak,Auckland,English,Non India,Oman,Sunita Patel,Delhi Group,Website,No,Pending,Yes,Awaiting response,Admin1
Chitra Joshi,chitra.joshi323@yahoo.com,8787830395,Facliators,Srinagar,Kannada,India,India,Swati Shah,Nagpur Group,Referral,No,Yes,No,,System
Rohit Yadav,rohit.yadav288@outlook.com,6227872441,Facliators,Varanasi,Assamese,India,India,Rajesh Kumar,Singapore Group,Facebook,Pending,Pending,No,,Coordinator
Nandita Venkatesh,nandita.venkatesh557@hotmail.com,6306370857,Facliators,San Jose,Hindi,Non India,Sri Lanka,Radha Sharma,USA Group,Telegram,Pending,Pending,Yes,,RasPay
Shiva Roy,shiva.roy531@yahoo.com,7593486461,Facliators,Raipur,Hindi,India,India,Lakshmi Krishnan,Sydney Group,YouTube,Yes,Yes,Yes,,RasPay
Vijay Rao,vijay.rao49@yahoo.com,9055617240,Facliators,Vasai,Gujarati,India,India,Ashwin Verma,Kolkata Group,Website,No,Yes,Pending,,Volunteer
Chirag Nair,chirag.nair135@outlook.com,7956570854,Facliators,Bangalore,Hindi,India,India,Karthik Menon,Kolkata Group,Referral,Pending,Pending,Yes,,Volunteer
Tarun Gupta,tarun.gupta249@outlook.com,9882101808,Sadhak,San Jose,Malayalam,Non India,UAE,Ravi Kumar,Hyderabad Group,WhatsApp,Pending,Pending,Pending,New member,System
Rajan Subramaniam,rajan.subramaniam411@yahoo.com,6864930249,Facliators,Agra,Odia,India,India,Mohan Gupta,Kolkata Group,Telegram,No,No,Yes,,Facilitator
Pranav Oberoi,pranav.oberoi615@gmail.com,7817812363,Sadhak,San Jose,Gujarati,Non India,Singapore,Sunita Patel,Mumbai Group,Facebook,Pending,Pending,Pending,Confirmed,Admin1
Chirag Pillai,chirag.pillai793@yahoo.com,6410124432,Facliators,Chicago,English,Non India,New Zealand,Vijay Reddy,Ahmedabad Group,Website,Pending,Yes,Yes,Inactive,System
Vishal Dey,vishal.dey632@yahoo.com,8356367506,Facliators,Sydney,Malayalam,Non India,Saudi Arabia,Sunita Patel,Ahmedabad Group,YouTube,No,No,No,Awaiting response,Admin2
Geeta Venkatesh,geeta.venkatesh529@rediffmail.com,7086882349,Facliators,Sharjah,Hindi,Non India,Singapore,Anand Rao,Sydney Group,Referral,No,No,Pending,Inactive,Self
Karthik Roy,karthik.roy915@outlook.com,8119079357,Facliators,Kanpur,Malayalam,India,India,Sunita Patel,Coimbatore Group,Twitter,Yes,Yes,No,Active,Self
Radha Jain,radha.jain222@gmail.com,9854250927,Facliators,Riyadh,Telugu,Non India,New Zealand,Karthik Menon,Singapore Group,Instagram,Pending,No,Pending,Inactive,Admin1
Mohan Gupta,mohan.gupta799@hotmail.com,7163645970,Sadhak,Frankfurt,Malayalam,Non India,Oman,Radha Sharma,London Group,Facebook,Pending,Pending,Pending,,Facilitator
Parvati Sinha,parvati.sinha380@rediffmail.com,8667651890,Sadhak,Dubai,Gujarati,Non India,Qatar,Suresh Pillai,London Group,YouTube,Pending,Pending,Pending,,Admin1
Alka Dubey,alka.dubey413@gmail.com,8603980008,Facliators,Melbourne,Tamil,Non India,Qatar,Karthik Menon,Dubai Group,YouTube,No,Pending,No,Follow up,Coordinator
Karthik Desai,karthik.desai62@outlook.com,6210790513,Facliators,Guwahati,Marathi,India,India,Ashwin Verma,Ahmedabad Group,Instagram,Yes,No,Pending,,System
Pooja Banerjee,pooja.banerjee429@outlook.com,7101012924,Facliators,Visakhapatnam,Tamil,India,India,Kavya Iyer,Kolkata Group,YouTube,No,No,Pending,Confirmed,Self
Wasim Venkatesh,wasim.venkatesh476@hotmail.com,9938034770,Sadhak,Bahrain,Malayalam,Non India,USA,Deepa Nair,Ahmedabad Group,Twitter,Pending,Yes,Yes,,RasPay
Girish Venkatesh,girish.venkatesh934@hotmail.com,7648030855,Facliators,Dhanbad,Telugu,India,India,Ganesh Shetty,Kolkata Group,Referral,Pending,Pending,Yes,Follow up,Self
Neha Naik,neha.naik816@gmail.com,8087572166,Sadhak,Chicago,English,Non India,Saudi Arabia,Radha Sharma,Toronto Group,WhatsApp,Pending,No,Pending,,System
Radha Jain,radha.jain733@hotmail.com,7840286651,Facliators,Dhaka,English,Non India,Malaysia,Deepa Nair,Pune Group,YouTube,No,Yes,Yes,Active,Admin1
Akash Krishnan,akash.krishnan542@hotmail.com,8652864678,Facliators,London,Telugu,Non India,Canada,Arjun Singh,Chennai Group,YouTube,Yes,No,Pending,Awaiting response,Self
Ashwin Krishnan,ashwin.krishnan634@outlook.com,8108657654,Sadhak,Pune,Telugu,India,India,Lakshmi Krishnan,Jaipur Group,Website,Yes,No,Pending,,Coordinator
Jayesh Chatterjee,jayesh.chatterjee498@outlook.com,8222931921,Facliators,Kota,Odia,India,India,Ravi Kumar,Kolkata Group,Website,Yes,Yes,Yes,Active,System
Aditya Singh,aditya.singh770@yahoo.com,8642520568,Sadhak,Mumbai,Assamese,India,India,Sunita Patel,Sydney Group,Facebook,No,No,No,,RasPay
Bindu Patel,bindu.patel205@rediffmail.com,7209571610,Sadhak,Vasai,English,India,India,Mohan Gupta,Malaysia Group,YouTube,Yes,Yes,Pending,,Self
Arjun Dey,arjun.dey224@rediffmail.com,9262480311,Sadhak,Frankfurt,Tamil,Non India,Malaysia,Suresh Pillai,Lucknow Group,YouTube,No,No,Pending,,Coordinator
Chitra Shah,chitra.shah873@gmail.com,6067251416,Sadhak,Visakhapatnam,English,India,India,Ravi Kumar,Lucknow Group,Telegram,Yes,No,No,Awaiting response,RasPay
Alka Shetty,alka.shetty154@yahoo.com,8960648724,Facliators,Dhaka,Tamil,Non India,Sri Lanka,Radha Sharma,Singapore Group,Twitter,No,Pending,Yes,Regular attendee,Volunteer
Wasim Singh,wasim.singh604@hotmail.com,8775191569,Facliators,Kuala Lumpur,Telugu,Non India,Oman,Rajesh Kumar,Mysore Group,YouTube,Pending,Pending,Yes,Interested,System
Rohit Agarwal,rohit.agarwal556@gmail.com,9115608684,Sadhak,Surat,Odia,India,India,Swati Shah,Delhi Group,Email,No,No,Yes,Regular attendee,Volunteer
Sneha Desai,sneha.desai440@yahoo.com,7306731562,Sadhak,Varanasi,Assamese,India,India,Vijay Reddy,Mysore Group,Website,No,Pending,No,,Admin2
Arjun Oberoi,arjun.oberoi492@gmail.com,6477211547,Sadhak,Kota,Telugu,India,India,Radha Sharma,Pune Group,Twitter,Pending,No,Pending,,Admin2
Naresh Subramaniam,naresh.subramaniam453@hotmail.com,6629619946,Sadhak,Melbourne,Tamil,Non India,Canada,Swati Shah,Chennai Group,Twitter,Pending,No,Yes,Interested,Volunteer
Vijay Pandey,vijay.pandey68@hotmail.com,9820917469,Sadhak,Colombo,English,Non India,Nepal,Mohan Gupta,Lucknow Group,Email,Yes,Yes,No,,Facilitator
Meena Oberoi,meena.oberoi405@gmail.com,8733248649,Sadhak,Bahrain,Hindi,Non India,Australia,Vijay Reddy,Chennai Group,Referral,Pending,Yes,Pending,Follow up,Facilitator
Neha Shastri,neha.shastri824@rediffmail.com,8668281738,Facliators,Amsterdam,Tamil,Non India,Canada,Kavya Iyer,Toronto Group,YouTube,Yes,Yes,Yes,,Coordinator
Manish Banerjee,manish.banerjee766@gmail.com,9913685559,Facliators,San Jose,English,Non India,USA,Ashwin Verma,Nagpur Group,Telegram,Yes,Yes,Yes,,Facilitator
Mohan Kumar,mohan.kumar910@gmail.com,8953075606,Facliators,Auckland,Telugu,Non India,New Zealand,Swati Shah,USA Group,Referral,No,No,Yes,Regular attendee,Coordinator
Vani Rao,vani.rao453@outlook.com,7950019978,Facliators,Kolkata,English,India,India,Radha Sharma,Singapore Group,Instagram,No,No,No,,Volunteer
Sanjay Chakraborty,sanjay.chakraborty980@rediffmail.com,6458727393,Sadhak,Kanpur,Marathi,India,India,Ganesh Shetty,Ahmedabad Group,YouTube,No,No,Pending,,Admin1
Sneha Patil,sneha.patil881@gmail.com,7558716156,Facliators,Nashik,Odia,India,India,Arjun Singh,Malaysia Group,Referral,No,Yes,No,Needs reminder,RasPay
Nandita Yadav,nandita.yadav901@yahoo.com,8122335385,Sadhak,San Jose,Tamil,Non India,Malaysia,Sunita Patel,Delhi Group,Twitter,No,No,Pending,Interested,Facilitator
Jyoti Shetty,jyoti.shetty549@yahoo.com,6720767399,Sadhak,Vadodara,Hindi,India,India,Sunita Patel,Mysore Group,Email,Pending,Yes,No,Confirmed,Volunteer
Ojas Kamath,ojas.kamath214@outlook.com,8418729593,Sadhak,Doha,Malayalam,Non India,Saudi Arabia,Mohan Gupta,USA Group,Instagram,No,Pending,Pending,New member,Facilitator
Rajan Patil,rajan.patil486@outlook.com,8645991531,Sadhak,Aurangabad,Kannada,India,India,Suresh Pillai,Lucknow Group,Instagram,Pending,Yes,Yes,New member,Self
Sneha Chakraborty,sneha.chakraborty460@yahoo.com,7469994457,Sadhak,Bahrain,English,Non India,Australia,Sunita Patel,Jaipur Group,WhatsApp,Yes,No,Yes,Regular attendee,Coordinator
Lalit Patil,lalit.patil342@rediffmail.com,7660520347,Sadhak,Muscat,Telugu,Non India,Nepal,Meena Joshi,Toronto Group,YouTube,Yes,Pending,Pending,Follow up,Admin2
Lokesh Sen,lokesh.sen472@outlook.com,8456720260,Facliators,Riyadh,Malayalam,Non India,UAE,Suresh Pillai,Pune Group,Telegram,Yes,No,No,,System
Vishal Gowda,vishal.gowda387@gmail.com,6768223863,Sadhak,Melbourne,English,Non India,Malaysia,Radha Sharma,Mumbai Group,Facebook,Pending,Yes,Pending,,RasPay
Rajan Bose,rajan.bose689@outlook.com,6164361248,Facliators,Melbourne,Telugu,Non India,Oman,Sunita Patel,Mumbai Group,WhatsApp,Pending,No,Pending,,Admin1
Hemant Tiwari,hemant.tiwari280@hotmail.com,6126854867,Facliators,Doha,Malayalam,Non India,Canada,Ganesh Shetty,Singapore Group,Referral,No,No,Yes,Awaiting response,Admin2
Karthik Gowda,karthik.gowda293@yahoo.com,8929517991,Facliators,Varanasi,Tamil,India,India,Ashwin Verma,Mysore Group,Telegram,No,Yes,Yes,,Facilitator
Ravi Pandey,ravi.pandey241@rediffmail.com,7514505152,Sadhak,Guwahati,Odia,India,India,Meena Joshi,USA Group,Telegram,No,Pending,Yes,Confirmed,Admin1
Manju Pandey,manju.pandey620@gmail.com,6212618492,Sadhak,Dhaka,Hindi,Non India,New Zealand,Ganesh Shetty,London Group,Telegram,Pending,Yes,Yes,,RasPay
Amit Natarajan,amit.natarajan281@rediffmail.com,6142730136,Sadhak,Kota,Gujarati,India,India,Anand Rao,Chennai Group,Website,Yes,No,No,Awaiting response,RasPay
Hema Rao,hema.rao977@outlook.com,6359772517,Facliators,Rajkot,Kannada,India,India,Arjun Singh,Toronto Group,Twitter,No,Yes,Pending,Follow up,System
Sneha Dey,sneha.dey398@yahoo.com,7445100296,Sadhak,Houston,Telugu,Non India,USA,Arjun Singh,Delhi Group,Word of Mouth,Pending,Pending,Yes,,RasPay
Vikram Gupta,vikram.gupta94@rediffmail.com,9943041059,Sadhak,Thane,Punjabi,India,India,Suresh Pillai,Mumbai Group,Word of Mouth,Pending,No,Yes,,RasPay
Hema Patil,hema.patil626@rediffmail.com,9485114270,Facliators,San Jose,Telugu,Non India,UK,Lakshmi Krishnan,Nagpur Group,Facebook,Yes,No,No,Follow up,Facilitator
Priya Venkatesh,priya.venkatesh610@outlook.com,6290257815,Sadhak,Colombo,Gujarati,Non India,Canada,Kavya Iyer,Mysore Group,Referral,No,No,Pending,Active,Facilitator
Manoj Murthy,manoj.murthy100@yahoo.com,6960306300,Sadhak,Howrah,Odia,India,India,Mohan Gupta,Kolkata Group,Website,No,No,No,,System
Jayesh Rao,jayesh.rao116@hotmail.com,8373352534,Facliators,Indore,Gujarati,India,India,Pooja Mehta,London Group,Telegram,Pending,Pending,No,Awaiting response,Facilitator
Rajan Nair,rajan.nair751@outlook.com,7420058867,Facliators,Delhi,Odia,India,India,Naveen Rao,Sydney Group,YouTube,Yes,Yes,No,,Facilitator
Irfan Mishra,irfan.mishra738@yahoo.com,7443641151,Sadhak,Ludhiana,Bengali,India,India,Vijay Reddy,Hyderabad Group,Instagram,Pending,No,Yes,,Self
Nandita Singh,nandita.singh51@yahoo.com,8789909747,Sadhak,Sharjah,Gujarati,Non India,Netherlands,Kavya Iyer,Ahmedabad Group,Website,Pending,Pending,Yes,,Volunteer
Sneha Patil,sneha.patil167@yahoo.com,9889688472,Facliators,Nashik,English,India,India,Meena Joshi,Singapore Group,YouTube,Yes,Yes,Yes,Inactive,Admin2
Arjun Venkatesh,arjun.venkatesh707@yahoo.com,6343645258,Sadhak,Ahmedabad,Bengali,India,India,Priya Sharma,Singapore Group,Website,No,No,Pending,Interested,Coordinator
Karthik Banerjee,karthik.banerjee802@yahoo.com,9949615933,Facliators,Thane,Gujarati,India,India,Swati Shah,Kolkata Group,YouTube,No,Yes,No,,Volunteer
Ketan Sharma,ketan.sharma588@hotmail.com,7204108580,Sadhak,Singapore,Malayalam,Non India,USA,Arjun Singh,Mumbai Group,Telegram,Pending,Yes,Pending,Follow up,Facilitator
Mahesh Shastri,mahesh.shastri939@outlook.com,6346888856,Facliators,Doha,Telugu,Non India,Australia,Naveen Rao,Delhi Group,Word of Mouth,Yes,Yes,No,Awaiting response,Coordinator
Ananya Chakraborty,ananya.chakraborty706@hotmail.com,8001229978,Sadhak,Auckland,Hindi,Non India,Qatar,Naveen Rao,Kolkata Group,Twitter,Yes,Yes,No,Inactive,System
Lokesh Patil,lokesh.patil82@yahoo.com,8340352913,Sadhak,Dubai,Gujarati,Non India,Australia,Pooja Mehta,Nagpur Group,Twitter,Yes,Yes,Yes,,Admin2
Arjun Sinha,arjun.sinha70@outlook.com,9105247944,Sadhak,Frankfurt,Hindi,Non India,Kuwait,Rajesh Kumar,Malaysia Group,Referral,No,Yes,Yes,Interested,Coordinator
Vidya Reddy,vidya.reddy129@hotmail.com,8483936310,Facliators,Sydney,Tamil,Non India,New Zealand,Anand Rao,Mumbai Group,Website,No,Yes,No,,Self
Savita Kumar,savita.kumar140@yahoo.com,8907125414,Sadhak,Dubai,Telugu,Non India,Malaysia,Mohan Gupta,Bangalore Group,Word of Mouth,Pending,Pending,Yes,,Admin2
Darshan Krishnan,darshan.krishnan173@rediffmail.com,8677320899,Facliators,Patna,Bengali,India,India,Radha Sharma,Nagpur Group,YouTube,No,No,Pending,,System
Ananya Kumar,ananya.kumar529@rediffmail.com,9512208000,Facliators,London,Malayalam,Non India,USA,Kavya Iyer,Lucknow Group,WhatsApp,Pending,No,Pending,,System
Ramesh Sundaram,ramesh.sundaram243@gmail.com,8141981732,Sadhak,Bahrain,Hindi,Non India,Malaysia,Arjun Singh,Pune Group,WhatsApp,Pending,No,No,Regular attendee,Self
Yamini Sinha,yamini.sinha239@yahoo.com,7528781700,Facliators,Colombo,Gujarati,Non India,UK,Arjun Singh,Mumbai Group,YouTube,No,Yes,Pending,,Self
Ravi Krishnan,ravi.krishnan34@yahoo.com,9930121088,Sadhak,San Jose,English,Non India,Malaysia,Priya Sharma,Sydney Group,Telegram,Pending,Yes,No,,Admin1
Vani Sinha,vani.sinha813@outlook.com,9907845739,Facliators,Vadodara,Odia,India,India,Radha Sharma,Delhi Group,Referral,Yes,Yes,Yes,Regular attendee,Self
Yogesh Das,yogesh.das386@gmail.com,7773707054,Facliators,Srinagar,English,India,India,Meena Joshi,Sydney Group,Website,Pending,Pending,Yes,Follow up,RasPay
Dinesh Roy,dinesh.roy364@hotmail.com,6980738028,Facliators,Nagpur,Kannada,India,India,Deepa Nair,Ahmedabad Group,Twitter,Pending,Pending,No,,Coordinator
Ganesh Kulkarni,ganesh.kulkarni302@yahoo.com,8417597693,Sadhak,Dhanbad,Punjabi,India,India,Mohan Gupta,Mumbai Group,Facebook,Yes,Yes,No,,Volunteer
Manish Hegde,manish.hegde65@gmail.com,6883909225,Facliators,Pune,Hindi,India,India,Sunita Patel,Jaipur Group,Referral,Pending,Pending,No,Awaiting response,Admin1
Aditya Subramaniam,aditya.subramaniam349@hotmail.com,8158759843,Facliators,Visakhapatnam,Punjabi,India,India,Karthik Menon,USA Group,YouTube,Yes,Pending,Yes,Regular attendee,Self
Leela Iyer,leela.iyer20@rediffmail.com,7604969959,Sadhak,Muscat,Gujarati,Non India,Germany,Anand Rao,Dubai Group,Referral,No,Pending,Yes,,Volunteer
Parth Rao,parth.rao298@rediffmail.com,8563503540,Facliators,Jodhpur,Malayalam,India,India,Rajesh Kumar,Jaipur Group,Email,Pending,Pending,Pending,Active,Admin1
Rohit Kumar,rohit.kumar911@outlook.com,6682288779,Sadhak,Chennai,Hindi,India,India,Priya Sharma,Ahmedabad Group,Word of Mouth,No,Yes,No,Confirmed,RasPay
Lokesh Chakraborty,lokesh.chakraborty48@rediffmail.com,7613354195,Facliators,Pimpri,Kannada,India,India,Lakshmi Krishnan,Hyderabad Group,Word of Mouth,Pending,No,Yes,Needs reminder,Admin1
Ojas Sen,ojas.sen614@yahoo.com,7113808500,Facliators,Sydney,Hindi,Non India,Sri Lanka,Ravi Kumar,Toronto Group,Facebook,Pending,Yes,No,,RasPay
Chirag Patil,chirag.patil641@rediffmail.com,7509439188,Sadhak,Toronto,Gujarati,Non India,Bahrain,Deepa Nair,Kolkata Group,Facebook,Yes,No,Yes,Inactive,Facilitator
Suresh Krishnan,suresh.krishnan639@outlook.com,6463222215,Facliators,Patna,Assamese,India,India,Ganesh Shetty,Mumbai Group,Facebook,Yes,Yes,Yes,,Admin1
Meena Roy,meena.roy754@rediffmail.com,6971549924,Facliators,Thane,Malayalam,India,India,Ashwin Verma,Dubai Group,Word of Mouth,Yes,Pending,Pending,,Self
Lakshmi Mishra,lakshmi.mishra606@yahoo.com,8449246557,Facliators,Varanasi,Marathi,India,India,Suresh Pillai,Toronto Group,Website,Pending,Yes,Pending,Needs reminder,Coordinator
Sagar Sen,sagar.sen840@gmail.com,7857435846,Sadhak,Aurangabad,Odia,India,India,Meena Joshi,Mumbai Group,Facebook,Yes,No,No,,Admin1
Isha Kumar,isha.kumar24@rediffmail.com,8770444871,Sadhak,Guwahati,Gujarati,India,India,Arjun Singh,Hyderabad Group,Telegram,Yes,Pending,Yes,,RasPay
Hiren Naik,hiren.naik727@yahoo.com,8602514167,Facliators,Abu Dhabi,Telugu,Non India,Saudi Arabia,Karthik Menon,Toronto Group,Word of Mouth,No,Yes,No,,Volunteer
Zara Patel,zara.patel650@hotmail.com,9046762701,Facliators,Agra,Odia,India,India,Sunita Patel,Malaysia Group,Instagram,No,Yes,Pending,Interested,Admin2
Naresh Yadav,naresh.yadav992@gmail.com,8599367750,Sadhak,Gwalior,Marathi,India,India,Mohan Gupta,Mumbai Group,Word of Mouth,No,No,No,,System
Taruna Kamath,taruna.kamath287@outlook.com,9794951187,Sadhak,Lucknow,Bengali,India,India,Priya Sharma,Coimbatore Group,Twitter,Yes,Pending,Yes,Follow up,Facilitator
Yogesh Nair,yogesh.nair100@yahoo.com,8615167127,Sadhak,Nashik,Assamese,India,India,Meena Joshi,Coimbatore Group,Facebook,No,No,Pending,Active,Admin2
Nisha Rao,nisha.rao490@outlook.com,9738827902,Sadhak,New York,English,Non India,Oman,Vijay Reddy,Jaipur Group,WhatsApp,Pending,Pending,Yes,,Admin2
Parth Oberoi,parth.oberoi516@hotmail.com,8659523740,Sadhak,Frankfurt,Malayalam,Non India,Oman,Kavya Iyer,Coimbatore Group,Telegram,Pending,Pending,Pending,,RasPay
Umesh Rao,umesh.rao362@yahoo.com,6115772511,Facliators,Lucknow,English,India,India,Lakshmi Krishnan,Jaipur Group,YouTube,No,Yes,Pending,,Self
Kamla Subramaniam,kamla.subramaniam730@outlook.com,6553465197,Sadhak,Rajkot,Assamese,India,India,Lakshmi Krishnan,Delhi Group,Word of Mouth,Yes,No,Pending,Active,Self
Geeta Ghosh,geeta.ghosh585@hotmail.com,9538722889,Sadhak,Dubai,Tamil,Non India,Singapore,Meena Joshi,Hyderabad Group,Word of Mouth,No,Yes,No,New member,Volunteer
Ojas Rajan,ojas.rajan615@rediffmail.com,6078033508,Sadhak,Auckland,Hindi,Non India,Bahrain,Suresh Pillai,Pune Group,Facebook,Pending,Pending,Pending,Regular attendee,Self
Sanjay Sharma,sanjay.sharma518@outlook.com,7652418614,Sadhak,Pimpri,Marathi,India,India,Ravi Kumar,Mysore Group,Twitter,Pending,No,No,,Admin1
Divya Mukherjee,divya.mukherjee927@hotmail.com,7723860033,Facliators,Kuala Lumpur,Hindi,Non India,Bahrain,Ganesh Shetty,Pune Group,Website,No,Yes,Pending,,RasPay
Akash Singh,akash.singh176@rediffmail.com,9103568505,Facliators,Muscat,English,Non India,Saudi Arabia,Ganesh Shetty,London Group,Referral,No,Pending,No,,System
Karthik Sen,karthik.sen711@yahoo.com,9837318573,Facliators,Dhaka,Telugu,Non India,Netherlands,Naveen Rao,Malaysia Group,Word of Mouth,Pending,Yes,Yes,New member,Volunteer
Naveen Joshi,naveen.joshi572@rediffmail.com,9279491956,Sadhak,Hyderabad,Marathi,India,India,Meena Joshi,Chennai Group,Word of Mouth,Pending,No,No,Interested,Admin1
Ravi Sharma,ravi.sharma208@yahoo.com,7973269528,Facliators,Kuwait City,Hindi,Non India,Oman,Priya Sharma,Hyderabad Group,Facebook,Pending,No,No,Active,Admin2
Meena Ghosh,meena.ghosh156@hotmail.com,6655535786,Sadhak,Pimpri,Hindi,India,India,Ganesh Shetty,Delhi Group,Facebook,Pending,Pending,No,Regular attendee,System
Yamini Bose,yamini.bose350@gmail.com,9493981798,Facliators,Vasai,Marathi,India,India,Ravi Kumar,London Group,Facebook,Yes,Pending,No,,RasPay
Deepa Chatterjee,deepa.chatterjee61@hotmail.com,8026489200,Facliators,Surat,Hindi,India,India,Arjun Singh,London Group,Website,Yes,Pending,No,Needs reminder,Admin2
Ganesh Pillai,ganesh.pillai701@gmail.com,6789086346,Sadhak,Muscat,English,Non India,Kuwait,Sunita Patel,Singapore Group,Instagram,Pending,Pending,No,Awaiting response,Coordinator
